t concentration bin0 bin1 bin2 bin3 bin4 bin5 bin6 bin7 bin8 bin9
0.12917 0 10000 0 0 0 0 0 0 0 0 0
0.129375 0 10000 0 0 0 0 0 0 0 0 0
0.129579 0 10000 0 0 0 0 0 0 0 0 0
0.129783 0 10000 0 0 0 0 0 0 0 0 0
0.129987 0 10000 0 0 0 0 0 0 0 0 0
0.130191 0 10000 0 0 0 0 0 0 0 0 0
0.130395 0 10000 0 0 0 0 0 0 0 0 0
0.130599 0 10000 0 0 0 0 0 0 0 0 0
0.130803 0 10000 0 0 0 0 0 0 0 0 0
0.131007 0 10000 0 0 0 0 0 0 0 0 0
0.131211 0 10000 0 0 0 0 0 0 0 0 0
0.131415 0 10000 0 0 0 0 0 0 0 0 0
0.131619 0 10000 0 0 0 0 0 0 0 0 0
0.131823 0 10000 0 0 0 0 0 0 0 0 0
0.132027 0 10000 0 0 0 0 0 0 0 0 0
0.132231 0 10000 0 0 0 0 0 0 0 0 0
0.132435 0 10000 0 0 0 0 0 0 0 0 0
0.13264 0 10000 0 0 0 0 0 0 0 0 0
0.132844 0 10000 0 0 0 0 0 0 0 0 0
0.133048 0 10000 0 0 0 0 0 0 0 0 0
0.133252 0 10000 0 0 0 0 0 0 0 0 0
0.133456 0 10000 0 0 0 0 0 0 0 0 0
0.13366 0 10000 0 0 0 0 0 0 0 0 0
0.133864 0 10000 0 0 0 0 0 0 0 0 0
0.134068 0 10000 0 0 0 0 0 0 0 0 0
0.134272 0 10000 0 0 0 0 0 0 0 0 0
0.134476 0 10000 0 0 0 0 0 0 0 0 0
0.13468 0 10000 0 0 0 0 0 0 0 0 0
0.134884 0 10000 0 0 0 0 0 0 0 0 0
0.135088 0 10000 0 0 0 0 0 0 0 0 0
0.135292 0 10000 0 0 0 0 0 0 0 0 0
0.135496 0 10000 0 0 0 0 0 0 0 0 0
0.1357 0 10000 0 0 0 0 0 0 0 0 0
0.135904 0 10000 0 0 0 0 0 0 0 0 0
0.136109 0 10000 0 0 0 0 0 0 0 0 0
0.136313 0 10000 0 0 0 0 0 0 0 0 0
0.136517 0 10000 0 0 0 0 0 0 0 0 0
0.136721 0 10000 0 0 0 0 0 0 0 0 0
0.136925 0 10000 0 0 0 0 0 0 0 0 0
0.137129 0 10000 0 0 0 0 0 0 0 0 0
0.137333 0 10000 0 0 0 0 0 0 0 0 0
0.137537 0 10000 0 0 0 0 0 0 0 0 0
0.137741 0 10000 0 0 0 0 0 0 0 0 0
0.137945 0 10000 0 0 0 0 0 0 0 0 0
0.138149 0 10000 0 0 0 0 0 0 0 0 0
0.138353 0 10000 0 0 0 0 0 0 0 0 0
0.138557 0 10000 0 0 0 0 0 0 0 0 0
0.138761 0 10000 0 0 0 0 0 0 0 0 0
0.138965 0 10000 0 0 0 0 0 0 0 0 0
0.139169 0 10000 0 0 0 0 0 0 0 0 0
0.139374 0 10000 0 0 0 0 0 0 0 0 0
0.139578 0 10000 0 0 0 0 0 0 0 0 0
0.139782 0 10000 0 0 0 0 0 0 0 0 0
0.139986 0 10000 0 0 0 0 0 0 0 0 0
0.14019 0 10000 0 0 0 0 0 0 0 0 0
0.140394 0 10000 0 0 0 0 0 0 0 0 0
0.140598 0 10000 0 0 0 0 0 0 0 0 0
0.140802 0 10000 0 0 0 0 0 0 0 0 0
0.141006 0 10000 0 0 0 0 0 0 0 0 0
0.14121 0 10000 0 0 0 0 0 0 0 0 0
0.141414 0 10000 0 0 0 0 0 0 0 0 0
0.141618 0 10000 0 0 0 0 0 0 0 0 0
0.141822 0 10000 0 0 0 0 0 0 0 0 0
0.142026 0 10000 0 0 0 0 0 0 0 0 0
0.14223 0 10000 0 0 0 0 0 0 0 0 0
0.142434 0 10000 0 0 0 0 0 0 0 0 0
0.142639 0 10000 0 0 0 0 0 0 0 0 0
0.142843 0 10000 0 0 0 0 0 0 0 0 0
0.143047 0 10000 0 0 0 0 0 0 0 0 0
0.143251 0 10000 0 0 0 0 0 0 0 0 0
0.143455 0 10000 0 0 0 0 0 0 0 0 0
0.143659 0 10000 0 0 0 0 0 0 0 0 0
0.143863 0 10000 0 0 0 0 0 0 0 0 0
0.144067 0 10000 0 0 0 0 0 0 0 0 0
0.144271 0 10000 0 0 0 0 0 0 0 0 0
0.144475 0 10000 0 0 0 0 0 0 0 0 0
0.144679 0 10000 0 0 0 0 0 0 0 0 0
0.144883 0 10000 0 0 0 0 0 0 0 0 0
0.145087 0 10000 0 0 0 0 0 0 0 0 0
0.145291 0 10000 0 0 0 0 0 0 0 0 0
0.145495 0 10000 0 0 0 0 0 0 0 0 0
0.145699 0 10000 0 0 0 0 0 0 0 0 0
0.145903 0 10000 0 0 0 0 0 0 0 0 0
0.146108 0 10000 0 0 0 0 0 0 0 0 0
0.146312 0 10000 0 0 0 0 0 0 0 0 0
0.146516 0 10000 0 0 0 0 0 0 0 0 0
0.14672 0 10000 0 0 0 0 0 0 0 0 0
0.146924 0 10000 0 0 0 0 0 0 0 0 0
0.147128 0 10000 0 0 0 0 0 0 0 0 0
0.147332 0 10000 0 0 0 0 0 0 0 0 0
0.147536 0 10000 0 0 0 0 0 0 0 0 0
0.14774 0 10000 0 0 0 0 0 0 0 0 0
0.147944 0 10000 0 0 0 0 0 0 0 0 0
0.148148 0 10000 0 0 0 0 0 0 0 0 0
0.148352 0 10000 0 0 0 0 0 0 0 0 0
0.148556 0 10000 0 0 0 0 0 0 0 0 0
0.14876 0 10000 0 0 0 0 0 0 0 0 0
0.148964 0 10000 0 0 0 0 0 0 0 0 0
0.149168 0 10000 0 0 0 0 0 0 0 0 0
0.149373 0 10000 0 0 0 0 0 0 0 0 0
0.149577 0 10000 0 0 0 0 0 0 0 0 0
0.149781 0 10000 0 0 0 0 0 0 0 0 0
0.149985 0 10000 0 0 0 0 0 0 0 0 0
0.150189 0 10000 0 0 0 0 0 0 0 0 0
0.150393 0 10000 0 0 0 0 0 0 0 0 0
0.150597 0 10000 0 0 0 0 0 0 0 0 0
0.150801 0 10000 0 0 0 0 0 0 0 0 0
0.151005 0 10000 0 0 0 0 0 0 0 0 0
0.151209 0 10000 0 0 0 0 0 0 0 0 0
0.151413 0 10000 0 0 0 0 0 0 0 0 0
0.151617 0 10000 0 0 0 0 0 0 0 0 0
0.151821 0 10000 0 0 0 0 0 0 0 0 0
0.152025 0 10000 0 0 0 0 0 0 0 0 0
0.152229 0 10000 0 0 0 0 0 0 0 0 0
0.152433 0 10000 0 0 0 0 0 0 0 0 0
0.152637 0 10000 0 0 0 0 0 0 0 0 0
0.152842 0 10000 0 0 0 0 0 0 0 0 0
0.153046 0 10000 0 0 0 0 0 0 0 0 0
0.15325 0 10000 0 0 0 0 0 0 0 0 0
0.153454 0 10000 0 0 0 0 0 0 0 0 0
0.153658 0 10000 0 0 0 0 0 0 0 0 0
0.153862 0 10000 0 0 0 0 0 0 0 0 0
0.154066 0 10000 0 0 0 0 0 0 0 0 0
0.15427 0 10000 0 0 0 0 0 0 0 0 0
0.154474 0 10000 0 0 0 0 0 0 0 0 0
0.154678 0 10000 0 0 0 0 0 0 0 0 0
0.154882 0 10000 0 0 0 0 0 0 0 0 0
0.155086 0 10000 0 0 0 0 0 0 0 0 0
0.15529 0 10000 0 0 0 0 0 0 0 0 0
0.155494 0 10000 0 0 0 0 0 0 0 0 0
0.155698 0 10000 0 0 0 0 0 0 0 0 0
0.155902 0 10000 0 0 0 0 0 0 0 0 0
0.156107 0 10000 0 0 0 0 0 0 0 0 0
0.156311 0 10000 0 0 0 0 0 0 0 0 0
0.156515 0 10000 0 0 0 0 0 0 0 0 0
0.156719 0 10000 0 0 0 0 0 0 0 0 0
0.156923 0 10000 0 0 0 0 0 0 0 0 0
0.157127 0 10000 0 0 0 0 0 0 0 0 0
0.157331 0 10000 0 0 0 0 0 0 0 0 0
0.157535 0 10000 0 0 0 0 0 0 0 0 0
0.157739 0 10000 0 0 0 0 0 0 0 0 0
0.157943 0 10000 0 0 0 0 0 0 0 0 0
0.158147 0 10000 0 0 0 0 0 0 0 0 0
0.158351 0 10000 0 0 0 0 0 0 0 0 0
0.158555 0 10000 0 0 0 0 0 0 0 0 0
0.158759 0 10000 0 0 0 0 0 0 0 0 0
0.158963 0 10000 0 0 0 0 0 0 0 0 0
0.159167 0 10000 0 0 0 0 0 0 0 0 0
0.159371 0 10000 0 0 0 0 0 0 0 0 0
0.159576 0 10000 0 0 0 0 0 0 0 0 0
0.15978 0 10000 0 0 0 0 0 0 0 0 0
0.159984 0 10000 0 0 0 0 0 0 0 0 0
0.160188 0 10000 0 0 0 0 0 0 0 0 0
0.160392 0 10000 0 0 0 0 0 0 0 0 0
0.160596 0 10000 0 0 0 0 0 0 0 0 0
0.1608 0 10000 0 0 0 0 0 0 0 0 0
0.161004 0 10000 0 0 0 0 0 0 0 0 0
0.161208 0 10000 0 0 0 0 0 0 0 0 0
0.161412 0 10000 0 0 0 0 0 0 0 0 0
0.161616 0 10000 0 0 0 0 0 0 0 0 0
0.16182 0 10000 0 0 0 0 0 0 0 0 0
0.162024 0 10000 0 0 0 0 0 0 0 0 0
0.162228 0 10000 0 0 0 0 0 0 0 0 0
0.162432 0 10000 0 0 0 0 0 0 0 0 0
0.162636 0 10000 0 0 0 0 0 0 0 0 0
0.162841 0 10000 0 0 0 0 0 0 0 0 0
0.163045 0 10000 0 0 0 0 0 0 0 0 0
0.163249 0 10000 0 0 0 0 0 0 0 0 0
0.163453 0 10000 0 0 0 0 0 0 0 0 0
0.163657 0 10000 0 0 0 0 0 0 0 0 0
0.163861 0 10000 0 0 0 0 0 0 0 0 0
0.164065 0 10000 0 0 0 0 0 0 0 0 0
0.164269 0 10000 0 0 0 0 0 0 0 0 0
0.164473 0 10000 0 0 0 0 0 0 0 0 0
0.164677 0 10000 0 0 0 0 0 0 0 0 0
0.164881 0 10000 0 0 0 0 0 0 0 0 0
0.165085 0 10000 0 0 0 0 0 0 0 0 0
0.165289 0 10000 0 0 0 0 0 0 0 0 0
0.165493 0 10000 0 0 0 0 0 0 0 0 0
0.165697 0 10000 0 0 0 0 0 0 0 0 0
0.165901 0 10000 0 0 0 0 0 0 0 0 0
0.166105 0 10000 0 0 0 0 0 0 0 0 0
0.16631 0 10000 0 0 0 0 0 0 0 0 0
0.166514 0 10000 0 0 0 0 0 0 0 0 0
0.166718 0 10000 0 0 0 0 0 0 0 0 0
0.166922 0 10000 0 0 0 0 0 0 0 0 0
0.167126 0 10000 0 0 0 0 0 0 0 0 0
0.16733 0 10000 0 0 0 0 0 0 0 0 0
0.167534 0 10000 0 0 0 0 0 0 0 0 0
0.167738 0 10000 0 0 0 0 0 0 0 0 0
0.167942 0 10000 0 0 0 0 0 0 0 0 0
0.168146 0 10000 0 0 0 0 0 0 0 0 0
0.16835 0 10000 0 0 0 0 0 0 0 0 0
0.168554 0 10000 0 0 0 0 0 0 0 0 0
